,Critical Cases,Diseased,Infected asymptomatic,Infected symptomatic,Isolated,Recovered,Susceptible,accumulated cases,case fatality rate,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,contacts per person symptomatic self,critical cases recovery rate,death rate,deimmunization rate,first infection,fraction of symptomatic,incidence per 100000,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,init total population,isolated critical case rate,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,new cases,non controlled population,symptomatic rate,total infected,total infection rate
125.0,9132.519706543195,205430.4605161718,11502.343247044852,9385.793616617086,0.0,6573983.5501278415,1190565.3327858082,2618236.2517931596,0.07846139185319048,0.375,0.03749999999999999,0.1875,15.0,526.8761369159535,351.250757943969,18261.065417021782,0,0.44933608382014617,32727.953147414497,575.1171623522425,187.71587233234172,1689.4428509910754,928.7287590793158,659.6109062799076,0.0,269.11785279940824,8000000,0.0,0.0,0.0,0.0,575.1171623522425,7785437.019777312,1150.234324704485,20888.136863661937,928.7287590793158
126.0,8467.05217912838,205768.95324488965,10737.457292240471,8690.209067426742,0.0,6558434.35357654,1207901.9746398025,2618792.2809904628,0.07857398799383396,0.375,0.03749999999999999,0.1875,15.0,488.48377956509887,325.6558530433993,18217.873204379277,0,0.4473110103160944,32734.903512380788,536.8728646120236,173.80418134853485,1564.2376321368135,877.4792151846813,624.6880143173786,0.0,252.7912008673027,8000000,0.0,0.0,0.0,0.0,536.8728646120236,7785763.99457601,1073.7457292240472,19427.666359667215,877.4792151846813
127.0,7849.9413514505595,206082.77755388283,10033.247839372121,8054.312581542689,0.0,6542734.998973032,1225244.7217007482,2619311.5824715435,0.07867822176368425,0.375,0.03749999999999999,0.1875,15.0,452.88123181445536,301.9208212096369,18174.263886036202,0,0.4452956835588184,32741.394780894294,501.6623919686061,161.0862516308538,1449.7762646776841,829.7242043136872,592.0760529462898,0.0,237.6481513673974,8000000,0.0,0.0,0.0,0.0,501.6623919686061,7786067.281094695,1003.3247839372121,18087.56042091481,829.7242043136872
128.0,7277.835720825947,206373.72919593338,9384.377015586728,7472.525817384183,0.0,6526901.715653133,1242589.8165971637,2619797.056461973,0.07877470076809705,0.375,0.03749999999999999,0.1875,15.0,419.87513773995846,279.9167584933056,18130.282543480924,0,0.4432917417527288,32747.463205774664,469.2188507793364,149.45051634768367,1345.054647129153,785.1999091618816,561.6046185784315,0.0,223.59529058345,8000000,0.0,0.0,0.0,0.0,469.2188507793364,7786348.435083267,938.4377015586728,16856.90283297091,785.1999091618816
129.0,6747.590173225104,206643.4789550812,8786.016309565519,6939.822505258473,0.0,6510949.293989088,1259933.7980678044,2620251.3490572525,0.07886399105544971,0.375,0.03749999999999999,0.1875,15.0,389.28404845529445,259.5226989701963,18085.9702610808,0,0.4413006254850225,32753.141863215656,439.3008154782759,138.79645010516947,1249.1680509465252,743.6640984879548,533.1171276100009,0.0,210.5469708779538,8000000,0.0,0.0,0.0,0.0,439.3008154782759,7786608.930871717,878.6016309565518,15725.838814823992,743.6640984879548
130.0,6256.257035369315,206893.58041612283,8233.794715619619,6451.672023579428,0.0,6494891.219304679,1277273.476504659,2620676.876390155,0.07894661958520728,0.375,0.03749999999999999,0.1875,15.0,360.9379058866912,240.62527059112753,18041.364498068553,0,0.43932359373763463,32758.46095487694,411.6897357809809,129.03344047158856,1161.3009642442971,704.8942483054278,506.46959529733374,0.0,198.42465300809408,8000000,0.0,0.0,0.0,0.0,411.6897357809809,7786850.162548537,823.3794715619619,14685.466739199048,704.8942483054278
131.0,5801.076927330056,207125.47738575272,7723.752444923073,6003.98877299306,0.0,6478739.792827163,1294605.9116418625,2621075.846345039,0.07902307660214372,0.375,0.03749999999999999,0.1875,15.0,334.6775150382724,223.1183433588483,17996.499424519898,0,0.4373617391007654,32763.44807931299,386.18762224615364,120.07977545986121,1080.7179791387507,668.6858364496039,481.52953312617745,0.0,187.15630332342644,8000000,0.0,0.0,0.0,0.0,386.18762224615364,7787073.445686942,772.3752444923073,13727.741217916133,668.6858364496039
132.0,5379.469538983094,207340.5109600797,7252.299580558489,5593.086771863485,0.0,6462506.240957014,1311928.3921915265,2621450.278081828,0.07909381791204342,0.375,0.03749999999999999,0.1875,15.0,310.35401186440924,206.90267457627283,17951.406224880597,0,0.4354160021671064,32768.128476022845,362.61497902792445,111.8617354372697,1006.7556189354275,634.8507933803003,458.17495187281884,0.0,176.6758415074815,8000000,0.0,0.0,0.0,0.0,362.61497902792445,7787280.019500962,725.2299580558489,12845.386352421974,634.8507933803003
133.0,4989.024431846842,207539.9262375787,6816.179124936352,5215.638948043532,0.0,6446200.814010561,1329238.4172470584,2621802.019602973,0.07915926705594921,0.375,0.03749999999999999,0.1875,15.0,287.8283326065486,191.88555507103237,17906.11337225156,0,0.4334871850960252,32772.52524503716,340.8089562468176,104.31277896087065,938.8150106478357,603.2160939571503,436.29345911733685,0.0,166.92263483981347,8000000,0.0,0.0,0.0,0.0,340.8089562468176,7787471.0493306,681.6179124936352,12031.818072979884,603.2160939571503
134.0,4627.491948966299,207724.87868007633,6412.4339516397,4868.640650110952,0.0,6429832.875477184,1346533.6792920465,2622132.763570825,0.07921981738148004,0.375,0.03749999999999999,0.1875,15.0,266.97068936344033,177.98045957562687,17860.64687632551,0,0.43157596434611045,32776.65954463531,320.621697581985,97.37281300221905,876.3553170199715,573.6224765613138,415.78144131516456,0.0,157.8410352461492,8000000,0.0,0.0,0.0,0.0,320.621697581985,7787647.629370981,641.24339516397,11281.074601750654,573.6224765613138
